Step-eval,Value-eval,Step-eval1,Value-eval1,Step-eval2,Value-eval2,Step-eval3,Value-eval3
4709970,708.6667480469,50174970,156.8095550537,72284970,172.8308105469,139769970,1041.1270751953
4724970,228.2749328613,50189970,1072.4533691406,72299970,1062.6053466797,139784970,211.9503326416
4739970,705.2416992188,50204970,118.2497024536,72314970,143.0104522705,139799970,991.9758911133
4754970,215.5440826416,50219970,1319.4956054688,72329970,1048.0264892578,139814970,275.6655273438
4769970,718.3743286133,50234970,115.6629333496,72344970,255.7192687988,139829970,991.9145507813
4784970,345.4298095703,50249970,1453.2541503906,72359970,1077.7060546875,139844970,233.6591949463
4799970,655.1237792969,50264970,133.4809875488,72374970,334.183380127,139859970,991.2055053711
4814970,179.3920898438,50279970,1269.7242431641,72389970,1168.3391113281,139874970,304.4223632813
4829970,609.0583496094,50294970,52.5094947815,72404970,200.1394500732,139889970,1123.7341308594
4844970,284.9612121582,50309970,1260.5466308594,72419970,1099.3308105469,139904970,223.2841796875
4859970,732.0915527344,50324970,157.2081756592,72434970,198.4996337891,139919970,912.694152832
4874970,283.8803100586,50339970,1133.2950439453,72449970,1090.3298339844,139934970,232.8428039551
