Step-eval,Value-eval,Step-eval1,Value-eval1,Step-eval2,Value-eval2,Step-eval3,Value-eval3
4514970,264.3061218262,45764970,558.7962646484,70934970,170.3794250488,166409970,925.9380493164
4529970,638.4857177734,45779970,1383.7937011719,70949970,1146.9722900391,166424970,271.7657470703
4544970,248.7207794189,45794970,325.5797729492,70964970,215.7176971436,166439970,879.0044555664
4559970,622.0132446289,45809970,1285.6153564453,70979970,912.9598388672,166454970,398.3387756348
4574970,246.049621582,45824970,-21.9472484589,70994970,244.2278900146,166469970,889.8602905273
4589970,640.9559936523,45839970,1401.1116943359,71009970,858.2709960938,166484970,154.7796020508
4604970,232.8187713623,45869970,1274.7463378906,71024970,437.0213012695,166499970,870.4747314453
4619970,672.5452880859,45884970,280.2203979492,71039970,1083.1236572266,166514970,70.8245391846
4634970,280.623840332,45899970,1264.1149902344,71054970,205.3324432373,166529970,806.4202880859
4649970,623.0880737305,45914970,-31.8256053925,71069970,799.9229736328,166544970,246.5094146729
4664970,221.9185638428,45929970,1329.0734863281,71084970,194.807220459,166559970,823.5569458008
4679970,625.377746582,45944970,108.6646194458,71099970,780.4112548828,166574970,228.3143615723
4694970,183.1480255127,45959970,1470.6026611328,71114970,324.9260559082,166589970,752.5771484375
4709970,608.7014770508,45974970,333.2959899902,71129970,846.0612182617,166604970,-12.1051940918
4724970,335.4247131348,45989970,1338.4422607422,71144970,243.720489502,166619970,871.5443725586
4739970,682.4801025391,46019970,1492.5762939453,71159970,1148.7553710938,166634970,117.9539108276
4754970,203.7400360107,46049970,1365.9041748047,71174970,162.2934875488,166649970,801.134765625
4769970,687.3986206055,46064970,156.1985626221,71189970,865.8313598633,166664970,150.0892486572
4784970,255.7086334229,46079970,1584.2493896484,71204970,280.929107666,166679970,774.5138549805
4799970,652.1845092773,46094970,215.2220458984,71219970,1108.9880371094,166694970,253.4571228027
4814970,289.6805419922,46109970,1481.3181152344,71234970,149.0806427002,166709970,776.123046875
4829970,610.3635253906,46124970,261.8707885742,71249970,1149.5103759766,166724970,251.167098999
4844970,299.5910949707,46139970,1380.1516113281,71264970,196.9203643799,166739970,990.1746826172
4859970,659.3913574219,46154970,-6.9697542191,71279970,936.6906738281,166754970,216.9553833008
4874970,285.2359008789,46169970,1234.1691894531,71294970,155.5330047607,166769970,958.092590332
4889970,672.708984375,46184970,-19.1172466278,71309970,782.2792358398,166784970,-41.8233337402
4904970,202.1954803467,46199970,1464.8419189453,71324970,395.3641052246,166799970,879.6657714844
4919970,634.0755004883,46229970,1273.5767822266,71339970,979.1604003906,166814970,199.6405639648
4934970,258.9230651855,46244970,687.8179321289,71354970,357.4010314941,166829970,905.6307373047
4949970,675.6971435547,46259970,1205.2430419922,71369970,941.8814086914,166844970,223.0472259521
4964970,172.5126037598,46289970,1419.5552978516,71384970,198.2964935303,166859970,850.068359375
4979970,635.7014770508,46304970,158.7701263428,71399970,1244.7607421875,166889970,798.9869995117
4994970,293.6965332031,46319970,1304.0270996094,71414970,265.4083557129,166904970,206.8999328613
5009970,642.7200317383,46334970,389.5808105469,71429970,929.8588867188,166919970,845.0935058594
5024970,195.0150299072,46349970,1278.2839355469,71444970,124.4933395386,166934970,288.9373474121
5039970,603.5815429688,46379970,1402.4831542969,71459970,876.9026489258,166949970,878.0236206055
5054970,128.3588104248,46394970,280.1056518555,71474970,211.9436950684,166964970,288.7356567383
5069970,638.2590942383,46409970,1310.6446533203,71489970,1027.2531738281,166979970,867.3220825195
5084970,205.1243133545,46424970,163.1301422119,71504970,254.3511047363,166994970,253.9988098145
5099970,633.9937744141,46439970,1261.9296875,71519970,936.8731079102,167009970,885.2232666016
5114970,202.508895874,46454970,442.6050720215,71534970,223.8151397705,167024970,255.7214355469
5129970,645.6973266602,46469970,1496.6928710938,71549970,915.4385986328,167039970,820.5556030273
5144970,259.9104003906,46484970,312.6818847656,71564970,243.1443786621,167054970,176.0278167725
5159970,621.3813476563,46499970,1349.5395507813,71579970,1095.0192871094,167069970,954.6240844727
5174970,322.0322265625,46514970,327.071472168,71594970,151.6429901123,167084970,191.2790527344
5189970,669.5358886719,46529970,1022.055847168,71609970,1203.1954345703,167099970,873.114074707
5204970,163.28125,46544970,591.5709838867,71624970,224.4759216309,167114970,154.5678100586
5219970,663.8883666992,46559970,1349.0137939453,71639970,1344.7454833984,167129970,806.1791381836
5234970,101.9640045166,46574970,490.5613708496,71654970,248.6561737061,167144970,265.3790588379
5249970,622.514465332,46589970,1326.8026123047,71669970,897.2606811523,167159970,861.9207763672
5264970,178.5800476074,46604970,491.6975708008,71684970,328.4602661133,167174970,326.9791259766
5279970,638.5596923828,46619970,1409.1311035156,71699970,834.5165405273,167189970,949.876159668
5294970,247.9982452393,46634970,368.678527832,71714970,317.7464599609,167204970,206.2312774658
5309970,589.1239624023,46649970,1352.3953857422,71729970,919.8386230469,167219970,753.8388061523
5324970,256.5539550781,46664970,248.4588928223,71744970,186.3207855225,167234970,66.4578781128
5339970,716.1901245117,46679970,1234.3101806641,71759970,845.0720214844,167249970,727.5278320313
5354970,432.6699829102,46694970,771.9010009766,71774970,288.5151367188,167264970,191.3392333984
5369970,700.3953857422,46709970,1235.1486816406,71789970,1090.4814453125,167279970,932.6076049805
5384970,225.3246612549,46724970,273.7156677246,71804970,199.4436645508,167294970,388.8981933594
5399970,734.5433349609,46739970,1201.6424560547,71819970,1044.3974609375,167309970,927.4307250977
